refe,h3_cell,loading_status,n_points,centroid_lat,centroid_lng,avg_heading,avg_speed,avg_vertical_speed,avg_height,avg_longitudinal_a,avg_lateral_a,avg_ratius_ot,avg_vehicle_w,avg_tkph_f,avg_tkph_r,avg_slope_percent,transparency
341139VBOX,8c661c94d732dff,Loaded,1,7.912898799556669,-75.57050282697237,280.8,25.66,0.19,67.27,0.0,0.01,,974.3,288.0,259.0,0.03,0.0107
341139VBOX,8c661c94d7339ff,Empty,1,7.912637210661295,-75.56994987401305,264.0,34.54,-0.29,68.86,0.03,-0.06,,68.3,549.0,450.0,0.0,0.0144
341139VBOX,8c661c94d7339ff,Loaded,2,7.912637210661295,-75.56994987401305,267.25,33.14,-0.3,61.71,0.04,-0.1,,974.3,1548.0,1439.0,0.01,0.0276
341139VBOX,8c661c94d733dff,Loaded,1,7.912628190814931,-75.57012410956786,276.5,34.48,0.36,61.87,0.02,-0.08,,974.3,1548.0,1439.0,0.01,0.0144
341139VBOX,8c661c94d7353ff,Empty,7,7.912952917508457,-75.5694574149486,66.76,37.65,0.24,68.37,0.01,0.06,,68.3,1048.57,967.86,0.0014,0.1098
341139VBOX,8c661c94da6d9ff,Empty,15,7.915103730348271,-75.55312914040407,155.28,32.52,-0.08,58.91,0.01,0.02,,68.3,776.8,730.73,0.0047,0.2034
341139VBOX,8c661c94da6d9ff,Loaded,2,7.915103730348271,-75.55312914040407,335.15,37.08,-0.32,56.86,-0.01,0.02,,974.3,735.0,698.0,-0.02,0.0309
341139VBOX,8c661c94da6dbff,Empty,17,7.914963921092677,-75.5530269017543,153.22,33.3,-0.12,58.9,0.01,0.01,,68.3,775.06,730.06,0.0053,0.236
341139VBOX,8c661c94da6dbff,Loaded,7,7.914963921092677,-75.5530269017543,333.7,35.09,-0.65,59.23,0.01,-0.01,,974.3,1060.0,1018.14,-0.0086,0.1024
341139VBOX,8c661c94dacb7ff,Empty,1,7.9119920526242105,-75.5571820925747,98.7,39.19,-0.2,67.6,0.03,-0.01,,68.3,505.0,431.0,0.0,0.0163
341139VBOX,8c661c94dad93ff,Loaded,2,7.912104822301088,-75.55780700496884,285.8,36.08,-0.48,71.16,0.02,0.03,,974.3,164.0,152.0,0.0,0.0301
341139VBOX,8c661c94dad97ff,Empty,2,7.912095807478828,-75.55798122944542,284.5,42.45,-0.92,67.66,0.02,0.02,,68.3,210.0,182.0,0.0,0.0354
341139VBOX,8c661c94dad97ff,Loaded,5,7.912095807478828,-75.55798122944542,286.98,36.35,-0.67,67.79,0.02,-0.02,,974.3,729.8,696.6,-0.008,0.0757
341139VBOX,8c661c94dada1ff,Loaded,1,7.91234838978381,-75.55870838396802,275.9,37.75,1.27,71.81,-0.01,0.05,,974.3,164.0,152.0,0.06,0.0157
341139VBOX,8c661c94dada3ff,Empty,10,7.912208576239354,-75.55860614394545,105.4,39.25,-0.8,69.29,0.01,-0.01,,68.3,481.7,420.6,-0.016,0.1635
341139VBOX,8c661c94dada3ff,Loaded,7,7.912208576239354,-75.55860614394545,279.73,34.77,0.09,65.71,-0.01,0.05,,974.3,972.29,930.0,0.0286,0.1015
341139VBOX,8c661c94dada5ff,Loaded,1,7.912339374702067,-75.55888260915316,274.4,36.15,2.06,72.92,-0.03,-0.01,,974.3,164.0,152.0,0.06,0.0151
341139VBOX,8c661c94dada7ff,Empty,10,7.912199561124675,-75.55878036911307,98.81,39.19,-2.09,70.39,0.02,-0.05,,68.3,592.1,520.6,-0.035,0.1633
